experiment_id,rebalance_date,signal_date,formation_date,model,top_n,eligible_rows,scored_rows,selected_rows,executed,nav_pre,nav_post_cost,gross_trade,turnover
bottleneck_momentum:40,2010-10-01,2010-09-30,2010-09-30,bottleneck_momentum,40,450,187,40,True,10000000.0,9985022.466300549,9985022.466300625,0.9985022466300625
bottleneck_momentum:40,2011-01-03,2010-12-31,2010-12-31,bottleneck_momentum,40,453,212,40,True,11243569.65949948,11228257.918807376,10207827.128068233,0.9078813434880828
bottleneck_momentum:40,2011-04-01,2011-03-31,2011-03-31,bottleneck_momentum,40,455,220,40,True,11832402.93423313,11813603.95646569,12532651.844961088,1.0591806173792493
bottleneck_momentum:40,2011-07-01,2011-06-30,2011-06-30,bottleneck_momentum,40,459,215,40,True,12136449.815277644,12117053.18402956,12931087.498722382,1.0654752992464427
bottleneck_momentum:40,2011-10-03,2011-09-30,2011-09-30,bottleneck_momentum,40,456,277,40,True,9706062.842115434,9687144.532812497,12612206.201958664,1.2994152631315374
bottleneck_momentum:40,2012-01-03,2011-12-30,2011-12-31,bottleneck_momentum,40,459,287,40,True,10775542.188728154,10759072.722808383,10979643.946513636,1.018941205390016
bottleneck_momentum:40,2012-04-02,2012-03-30,2012-03-31,bottleneck_momentum,40,462,291,40,True,11932039.692078084,11919115.015465636,8616451.074965317,0.7221272554671393
bottleneck_momentum:40,2012-07-02,2012-06-29,2012-06-30,bottleneck_momentum,40,464,290,40,True,11692660.199266478,11674952.227802044,11805314.309623137,1.0096346005474208
bottleneck_momentum:40,2012-10-01,2012-09-28,2012-09-30,bottleneck_momentum,40,466,291,40,True,12289476.407377042,12267273.9134171,14801662.639960133,1.2044176781262295
bottleneck_momentum:40,2013-01-02,2012-12-31,2012-12-31,bottleneck_momentum,40,471,286,40,True,12975788.253975272,12960021.84681121,10510938.109374547,0.8100423576312914
bottleneck_momentum:40,2013-04-01,2013-03-28,2013-03-31,bottleneck_momentum,40,472,296,40,True,13929893.954683112,13914890.379938764,10002383.162898282,0.7180516373949541
bottleneck_momentum:40,2013-07-01,2013-06-28,2013-06-30,bottleneck_momentum,40,473,301,40,True,14234306.288310105,14210617.040225223,15792832.056588467,1.10949081301969
bottleneck_momentum:40,2013-10-01,2013-09-30,2013-09-30,bottleneck_momentum,40,477,300,40,True,15265294.022870483,15239925.081098642,16912627.84789321,1.1079136649811454
bottleneck_momentum:40,2014-01-02,2013-12-31,2013-12-31,bottleneck_momentum,40,482,306,40,True,16618675.667343086,16592223.895774148,17634514.379291356,1.0611263335468102
